物品,说明
"办公桌
オフィスのデスク
Office desk",辦公室常使用的桌子。抽履鎖住了，打不開。
"书桌
がくしゅうづくえ
Study desk",光是待在桌子前，都會覺得腦袋燮聰明了。
"可爱的桌子
キュートなテーブル
Cute table",褶邊和蕾絲相當可愛。隱約地散發著妖精屬性的氛圍。
"铁架子
てつのラック
Iron rack",把喜歡的東西擺放在板子上當裝飾吧。
"度假风桌子
リゾートなテーブル
Resort table",這材質無論被水打濕，還是被風吹襲都不怕。因此放在戶外也不必擔心。
"雅致桌子
シックなテーブル
Chic table",感覺會出現在高級餐廳的桌子。非常適合擺上豪華料理。
"新潮桌子
ポップなテーブル
Pop art table",帶有光澤的圓桌。差不多跟多邊獸Ⅱ一樣光滑。
"精灵球桌子
モンスターボールテーブル
Poké Ball table",精靈球造型的圓桌子。桌面很大，似乎可以放很多東西。
"树果造型桌
きのみなテーブル
Berry table",大大的利木果造型桌子。看起來很像真的，感覺會想要大口咬下。
"石头桌子
いしのテーブル
Stone table",加固石頭而成的桌子。跟大岩蛇一樣硬梆梆。
"豪华桌子
ゴージャスなテーブル
Luxury table",以大理石打造而成的豪華桌子。只要放在房間就會營造出典雅的空間。
"办公室桌子
オフィスのテーブル
Office table",以玻璃打造而成，所以下方一覽無遺。就算有東西掉了應該也能立刻發現。
"冰岩怪桌子
クレベーステーブル
Avalugg Table",有裂痕的堅硬桌子。看起來就像是冰岩怪在休息。
"干草凳子
ほしくさのこしかけ
Straw stool",大小正好適合小隻的寶可夢坐下。
"树果造型椅
きのみなイス
Berry chair",擺放在地上，就像是個埋住的蘋野果。葉子的部分是椅背。
"简约靠枕
シンプルなクッション
Simple cushion",簡約好用的墊子。裡面塞滿了棉絮，坐上去軟綿綿的。
"圆木椅子
まるたのイス
Log chair",可以坐在圓木上休息一下。說不定寶可夢們也會來休息。
"自然风凳子
ナチュラルなこしかけ
Plain stool",設計簡約的凳子。坐得下小型寶可夢。
"度假风凳子
リゾートなこしかけ
Resort stool",看起來硬硬的，但裡面裝著棉絮。其實是意想不到地綿綿軟軟。
"时髦凳子
おしゃれなこしかけ
Stylish stool",圓圓的小凳子。坐墊的三色組合相當時尚。
"工业风椅子
インダストリアルなチェア
Industrial chair",可以隨意擺放的圓椅子。腳是鐵製的，出乎意料地堅固。
"浴室椅子
ふろばのイス
Waterproof seat",光滑防水的椅子。適合放在浴室。
"木凳子
木のこしかけ
Wooden stool",雖然有點缺損，但出乎意料地堅固。就算寶可夢站在上面應該也不會壞。
"铁椅子
てつのイス
Iron chair",尺寸雖小，但相當結實。看起來不會隨隨便便就壞掉。
"公共座椅
パブリックベンチ
Public seat",沒有椅背的簡易椅子。大量地排放看看吧。
"软绵绵椅子
ふかふかイス
Soft seat",適合放在等候室或休息區等處。墊子軟綿綿的椅子。
"包厢沙发
ボックスソファ
Box Sofa",小型的方形沙發。排列起來當成長沙發也不錯。
"自然风椅子
ナチュラルなイス
Plain chair",很適合放在餐廳的椅子。高度對於吃東西剛剛好。
"度假风椅子
リゾートなイス
Resort chair",適合在想放松時坐坐的椅子。坐在上面，享受一下度假氣氛吧。
"雅致椅子
シックなイス
Chic chair",充滿高級感的迷你沙發。軟綿綿的，坐感絕佳。
"高级椅子
リッチなイス
Fancy chair",具有厚重感的高級椅子。坐上去心情就像是成了大人物。
"古董椅子
アンティークチェア
Antique Chair",圖案復古而富有魅力的椅子。椅面相當蓬松。
"观众的椅子
かんきゃくのイス
Spectator chair",似乎會在演唱會場或體育館見到的。觀眾椅子。試著排起來擺放吧。
"豪华椅子
ゴージャスなイス
Luxury chair",鑲嵌著寶石，看起來很高級的椅子。光是坐著就能體會有錢的感覺。
"庭园椅子
ガーデンチェア
Garden chair",適合放在庭院的椅子。坐在上面似乎能享受優雅的心情。
"铁管椅子
パイプイス
Folding chair",方便攜帶的鐵管椅子。排列擺放在活動會場等地方吧。
"办公室椅子
オフィスのイス
Office chair",和緩的曲線貼合著身體。即使長時間坐著應該也不會累。
"可爱的椅子
キュートなチェア
Cute chair",像裙子一樣的褶邊。非常可愛又討喜。
"新潮椅子
ポップなイス
Pop art chair",邊角圓滑，整體設計柔軟。改變一下椅背或坐墊的顏色也很棒。
"电竞椅
ゲーミングチェア
Gaming chair",有大大的椅背和軟墊。就算長時間坐著應該也很舒服。
"木长椅
木のながイス
Wooden bench",適合用來休息的長椅。實可夢們說不定會並肩而坐呢。
"石头长椅
いしのながイス
Stone bench",硬梆梆的長椅。當成公園的長椅感覺也不錯。
"自然风沙发
ナチュラルなソファ
Plain sofa",如果看到型可夢坐在上。就坐到牠旁邊看看吧。.。
"度假风沙发
リゾートなソファ
Resort sofa",坐下來就佛置身南國。在沙發上悠哉度過吧。
"雅致沙发
シックなソファ
Chic sofa",有高級感的沙發。跟放在聖特安努號上的家具非常像。
"古董沙发
アンティークソファ
Antique sofa",復古款式的沙發。處處可見精靈球花紋。
"铁长椅
てつのながイス
Iron bench",用鐵結結實實打造的椅子。體重較重的寶可夢坐上去也沒問題。
"工业风长椅
インダストリアルなベンチ
Industrial bench",用木頭和鐵打造的簡約長凳。在公園或步道似乎很常見。
"豪华沙发
ゴージャスなソファ
Luxury sofa",坐上去感覺非常松軟。簡直像飄在雲上一般。
"庭园长椅
ガーデンベンチ
Garden bench",藤蔓花紋的時尚長椅。只是擺放著，四周似乎就會變得華麗。
"可爱的沙发
キュートなソファ
Cute sofa",可愛又有點優雅的沙發。椅背的形狀就像是寶可夢的翅膀.。
"新潮沙发
ポップなソファ
Pop art sofa",造型看起來很柔軟的沙發。整體曲線圓滑，相當可愛。
"精灵球沙发
モンスターボールソファ
Poké Ball Sofa",坐進打開的精靈球裡看看吧。寬度足以讓兩個人一起坐喔。
"皮卡丘沙发
ピカチュウソファ
Pikachu sofa",椅背上有張皮卡丘的臉，存在感十足。背面還有一根尾巴稍微突出來。
"圆木床铺
まるたのベッド
Log Bed",收集小圓木製成的床鋪。木頭香味環繞中似乎能睡得很熟。
"自然风迷你床
ナチュラルなミニベッド
Mini plain bed",尺寸偏小的自然風床鋪。獨自睡覺時剛剛好。
"度假风床铺
リゾートなベッド
Resort bed",以藤蔓編織而成的涼爽床鋪。躺在上面心情就像是置身在度假區。
"铁床铺
てつのベッド
Iron bed",寬度有點偏窄的床。十分堅固，能沉沉入睡。
"夏日躺椅
サマーベッド
Deck chair",大方地躺在上面休息片刻。似乎正好用來做日光浴。
"沙滩椅
ビーチチェア
Beach chair",大方地躺在上面休息片刻。搭配沙灘遮陽傘成套使用，感覺很不錯。
"干草床
ほしくさのベッド
Straw bed",雖然有點刺刺的。但寶可夢依然能夠不在乎地呼呼大睡。
"新潮床铺
ポップなベッド
Pop art bed",躺下來就像是身在膠囊裡面。床墊也軟綿綿的，應該可以睡得很熟。
"精灵球造型床
モンスターボールベッド
Poké Ball bed",大尺寸的床鋪。大型寶可夢應該也能躺上去。
"树果造型床
きのみなベッド
Berry bed",大大的桃桃果造型床。柔軟又有彈性，睡起來非常舒服。
"木床铺
木のベッド
Wooden Bed",擺放在房間裡，就會有種山中小屋的氛圍。聞著木頭的香氣，似乎能睡得很熟。
"自然风床铺
ナチュラルなベッド
Plain bed",設計簡約的床。看起來適合各種房間。
"度假风吊床
リゾートなハンモック
Resort hammock",躺在上面吹風相當舒服。能睡得寬敞的吊床。
"客房床铺
きゃくしつのベッド
Guest-room bed",有點高檔的床。似乎會被放在豪華郵輪或高級飯店裡。
"古董床铺
アンティークベッド
Antique bed",有種熟悉的感覺，散發著舒適氛圍的床鋪。毛毯的觸感很柔順。
"工业风床铺
インダストリアルなベッド
Industrial bed",適合任何房間的寬敞床鋪。體型大的寶可夢也能睡。
"豪华床铺
ゴージャスなベッド
Luxury bed",打造得很豪華的床。總覺得很像豪華球。
"可爱床铺
キュートなベッド
Cute bed",在附天篷的可愛床鋪上睡覺。就會有種彷彿變成公主的感受。
"电竞床
ゲーミングベッド
Gaming bed",酷炫有型的床。打開電源後。還能營造出充滿科技感的氛圍。
"瞌睡床铺
いねむりベッド
Naptime bed",在卡比獸的肚子上休息。因為太舒服了，讓人想一直睡下去。
"壁挂镜
カベかけかがみ
Wall mirror",在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。
"大镜子
おおきなかがみ
Large mirror",在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。
"古董梳妆台
アンティークドレッサー
Antique dresser",在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。
"豪华梳妆台
ゴージャスなドレッサー
Luxury dresser",在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。
"可爱的梳妆台
キュートなドレッサー
Cute dresser",在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。
"歪歪扭扭镜
ぐにゃぐにゃかがみ
Wiggly mirror",在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。
"花朵桌子
おはなのテーブル
Flower table",鋪有花朵圖案桌巾的桌子。可以在用餐時感受到野餐風情。
"花朵靠枕
おはなのクッション
Flower cushion",花朵造型的可愛墊子。放在草皮上使用感覺也很不錯。
"露营椅子
キャンプイス
Camping chair",適合在露營或冒險中稍作休息時使用的簡易椅子。
"睡袋
ねぶくろ
Sleeping bag",塞滿棉絮的蓬鬆睡袋。只要鑽進去，在寒冷的日子也暖呼呼。
