编号,,说明,详情,宝可梦,图片URL
25,紧急救护站,受伤时要立即进行应急处理。擅长疗愈的宝可梦说不定会来帮忙。,"椅子（任意） × 1
桌子（任意） × 1
急救箱 × 1",飞腿郎,https://img.game8.co/4431689/5a6ec3f73c81665f9bfd6eebf47b6bf9.png/show
26,健身区救护处,如果运动时受伤了，宝可梦们也会用急救箱进行应急处理。,"桌子（任意） × 1
沙装 × 1
急救箱 × 1",战舞郎,https://img.game8.co/4433239/34721793036585ee0ea0f7de49e8dbf5.png/show
27,指路牌,孤零零地立在路中央的牌子。宝可梦或许会朝着箭头方向前进。,"箭头指示牌 × 1
木板路 × 3",无壳海兔西海、无壳海兔东海,https://img.game8.co/4431693/c2db1a085cfcd1719a93e6f986642f8d.png/show
28,装上大货物,宽宽的大容量货车，可以装下2个大木箱。,"平板货车 × 1
木箱 × 2",铁骨土人、小锻匠、巧锻匠,https://img.game8.co/4431694/763789b806bd1603da503d27aa46be1f.png/show
29,樵夫工作区,把用货车运来的圆木放在木桩上，劈成柴火。累了的话，就坐在椅子上休息一下吧。,"圆木椅子 × 1
平板货车 × 1
树桩（任意） × 1
圆大桌 × 1",牙牙、斧牙龙、双斧战龙,
30,布偶伴好眠,援着可爱布偶的床铺。小型宝可梦应该能安心入睡。,"床铺（任意） × 1
玩偶（任意） × 1",呆壳兽、呆呆王、飘飘球、小卡比兽,https://img.game8.co/4433866/d29c2f6023d912be3fceb17b113df8ff.png/show
31,柔光伴好眠,笼罩着柔和灯光的床铺。宝可梦们应该能放松地入睡。,"床铺（任意） × 1
桌子（任意） × 1
细长蜡烛 × 1",咕咕、猫头夜鹰,https://img.game8.co/4431696/1f13c5df49caa5fbf494af5ce730e0ee.png/show
32,墓前的供品,幽静的墓前摆着蜡烛和盘子有一点点惊悚的氛围。,"墓碑 × 1
细长蜡烛 × 2
装盘的食物 × 1",烛光灵、灯火幽灵,https://img.game8.co/4434611/0ee88dd1fa21b6b407008db4400e63f6.png/show
33,诡异的墓前的供品,给墓地的蜡烛点上火，蓝色的火焰轻轻摇曳，诡异气氛加倍。,"诡异的蜡烛 × 2
墓碑 × 1
装盘的食物 × 1",烛光灵、灯火幽灵、水晶灯火灵,https://img.game8.co/4434612/b753742c5a7261462d31c952b44f2e6c.png/show
34,吉利蛋休息处,在吉利蛋的看护下休息片刻。是个可以放松身心的疗愈空间。,"花篱（任意） × 6
吉利蛋植栽 × 1
椅子（长） × 1",霸王花、美丽花,https://img.game8.co/4434613/5a171c520b985dff97eda806b2629fab.png/show
35,灯光与香气的诱惑,或许会有宝可梦被磨菇的光亮和花瓶的香味吸引来。,"大食花瓶 × 1
装盘的食物 × 1
蘑菇台灯 × 1",口呆花、大食花,https://img.game8.co/4434614/785522e8c2f65962867eb8f8bf5284e3.png/show
36,在阴凉处漂浮玩水,如果在充气船上玩累了，就剧遮阳企下休息一下吧。,"充气船 × 1
沙滩遮阳伞 × 1
水 × 2",水箭龟,https://img.game8.co/4431779/ba42326837d35b88d5294cef4c16beee.png/show
37,干干的草丛,因为干千的神奇岩石的力量而失去生机的草丛。,"枯萎的绿色草 × 4
沙沙岩石 × 1",大岩蛇,https://img.game8.co/4431781/488564dfdf6500957ab14893bbb641bb.png/show
38,工厂的储藏室,试着给巨大的机器接好电线，但操作后也没有反应……。,"路灯（任意） × 1
控制盘 × 1
金属桶 × 1
乱缠电线 × 1",小磁怪,https://img.game8.co/4433868/24c3edec3fddc9c0e606de1be28fbc42.png/show
39,叽叽咕咕奢华大餐,鸟宝可梦似乎会吃着各种树果，在巢箱里休想。,"木巢箱 × 1
树果野餐篮 × 1",大比鸟,https://img.game8.co/4434615/f0ea3ae24c1f104bf51c42a32285c6a6.png/show
40,树果露营大餐,在晴空下生起营火。准者各种美食，尽情享受吧。,"晴雨飘浮泡泡（晴） × 2
营火 × 1
树果野餐篮 × 1
高处 × 1",喷火龙,https://img.game8.co/4431782/7823e8585d21319d32910b7f71bd9b82.png/show
41,求雨地点,摆放食物的盘子和能联想到雨的物品，这里一应俱全。,"晴雨飘浮泡泡（雨） × 2
装盘的食物 × 1",黏黏宝,https://img.game8.co/4431786/e1a230b23cd3bdf2e861700ef31d603f.png/show
42,大晴天地点,摆放食物的盘子和能联想到晴天的物品，这里一应俱全。,"晴雨飘浮泡泡（晴） × 2
装盘的食物 × 1",刺球仙人掌,https://img.game8.co/4433151/53adce3612f7786680ca00e994b9dc96.png/show
43,博士的宝物,看上去像一堆废品，但对博士来说都值得研究。,"博士的宝物 × 1
遗失物（大） × 4
床铺（任意） × 1",巨蔓藤博士,
44,有温度感的圆木,木材打造的家具琳琅满目。仿佛置身于山间小屋。,"圆木椅子 × 1
圆木床铺 × 1
圆木桌 × 1",牙牙、斧牙龙、双斧战龙,https://img.game8.co/4435014/2010d5281dd024ff7a084a86600befda.png/show
45,树果大集合,桌子和床铺都是树果图案。感觉一直盯着看肚子会饿。,"树果造型椅 × 1
树果造型床 × 1
树果造型桌 × 1
树果桌灯 × 1",黏美龙,https://img.game8.co/4437263/8b075cebbcd5cef4eed7bda2bf8ecc3a.png/show
46,庭园露台,欣赏着柔和光线下的花，坐在庭园椅子上休息片刻吧。,"草地的花 × 4
庭园椅子 × 1
庭园灯 × 1
庭园桌子 × 1",妙蛙花,https://img.game8.co/4431792/4f2528188a8e52afdcf9b6df1aa001d3.png/show
47,树荫下熟睡的卡比兽,其他宝可梦可能会误以为有只睡觉的卡比兽而靠近过来。,"大树（任意） × 1
瞌睡床铺 × 1",小卡比兽、卡比兽,https://img.game8.co/4435858/56ab510cbc91f1df4cd44637c8180153.png/show
48,古色古香,被古董家具环绕，享受复古的气息吧。,"古董衣柜 × 1
古董床铺 × 1
古董梳妆台 × 1
古董椅子 × 1",双弹瓦斯、卡比兽,https://img.game8.co/4437264/b69e8a20ce54d4cef8527ee020a7b7ef.png/show
49,满是精灵球,本以为全是精灵球，却意外成为了舒适的生活空间。,"精灵球沙发 × 1
精灵球造型床 × 1
精灵球桌子 × 1
精灵球灯 × 1",蔓藤怪,
50,黄色的草丛,由黄色草组成的小草丛。在港口城镇很常见。,黄色草 × 4,圆丝蛛、阿利多斯、强颚鸡母虫,https://img.game8.co/4431794/d6dc372cbd4d3a4ec0abf223365b8f38.png/show
51,树荫的黄色草丛,生长在树荫下的黄色草丛。可以尽情体会伤感的氛围。,"大树（任意） × 1
黄色草 × 4",超音蝠、大嘴蝠、幕下力士、铁掌力士,https://img.game8.co/4431796/5c0ef2aab8827f891f322a921051b49e.png/show
52,高岗的黄色草丛,生长在高处的黄色草丛。在海风的吹拂下轻轻摇曳。,"黄色草 × 4
高处 × 1",叉字蝠、长翅鸥、大嘴鸥,https://img.game8.co/4431799/4b4644ef8663141c463c915d0e9858ae.png/show
53,湿润的黄色草丛,生长在水边的黄色草丛。从水里上岸的宝可梦会在这里休息片刻。,"黄色草 × 4
水 × 2",露力丽、玛力露、波加曼、波皇子,https://img.game8.co/4431803/368ef54f0960b7e1ee03fef21d6c73f0.png/show
54,沼泽的草丛,生长在沼泽中的小草丛。也有宝可梦用它擦去身上的泥巴。,"黄色草 × 4
泥水 × 2",乌波帕底亚的样子、土王,https://img.game8.co/4434669/aabe32a290c749e17a3ca89585d16626.png/show
55,草丛的自动售货机,在黄色的草丛中矗立的自动售货机。就算在野外，补水也完全没问题。,"黄色草 × 4
自动售货机 × 1",咩利羊,https://img.game8.co/4434469/5032328ac9753c9671b754e1a7924d2e.png/show
56,凉爽的花田,谷海边的花组成的清爽花田。沁人心脾的芬芳会引来宝可梦。,海边的花 × 4,索罗亚、索罗亚克、布拨,https://img.game8.co/4431810/ed0cf6641105364def317046ff94f476.png/show
57,南国氛围,椰子树下盛开着·台海边的花。四周弥漫着热带风情十足的芬芳。,"大椰子树 × 1
海边的花 × 4",臭臭花、蛋蛋、椰蛋树,https://img.game8.co/4431812/bb6b35885d2d75b28b279d0e3b84d286.png/show
58,风之花田,清风拂过，花田充满凉爽的气息。风车将花香送往远方。,"风力发电机 × 1
海边的花 × 4",长翅鸥、大嘴鸥,https://img.game8.co/4431813/5aa210e95cc2aeb50940e1ff3d4086e8.png/show
59,沙滩的树荫,椰子树代替遮阳伞，宝可梦也会在沙滩椅上小憩。,"大椰子树 × 1
沙滩椅 × 1",蛋蛋、椰蛋树,https://img.game8.co/4431815/edf58194cd48b5b9ccb6baba8ce878fd.png/show
60,热带海滨,在椰子树旁吹着海风悠闲度过，仿佛在享受热带风情。,"大椰子树 × 1
花篱（任意） × 4
海水 × 2",拉普拉斯,https://img.game8.co/4432152/623c9c783abcefc743c8ac30eb0f68e5.png/show
61,休息处,空纸箱和松软的稻草床，选择睡哪边似乎会根据喜好分成两派。,"纸箱 × 1
干草床 × 1",喵喵,https://img.game8.co/4431817/f11101e4b7027bae4085d48f6bef0f93.png/show
62,来收拾吧,散落一地的玩具和纸箱。才刚收拾好，就又乱了。,"纸箱 × 1
玩具（任意） × 2",卡蒂狗、露力丽,https://img.game8.co/4431818/0c392d04089db76ce010d64bcc7dba12.png/show
63,垃圾集中站,大家的垃圾全都集中在这里。可能会有宝可梦跑来翻找垃圾。,"垃圾桶（任意） × 1
牌子（任意） × 1
垃圾袋 × 1",瓦斯弹、双弹瓦斯、破破袋、灰尘山,https://img.game8.co/4431820/91d0562483039bd4ba404de1a3da00e5.png/show
64,好多垃圾桶,为防止乱去垃圾而摆放了很多垃圾桶。偶你也会有宝可梦待在里面。,垃圾桶 × 4,三合一磁怪、自爆磁怪、电击兽,https://img.game8.co/4431824/2e2827f2afd97fd193bba98fe9de3335.png/show
65,垃圾场,扬在电线杆下的垃圾：周国稍稍有些臭。,"电线杆 × 1
垃圾袋 × 1",叉字蝠,https://img.game8.co/4431826/c02abbddac4320415d546c4b668448a7.png/show
66,公园的长椅,吃完零食后，要把垃圾扔进垃圾桶。宝可梦们做得到吗？。,"椅子（长） × 1
垃圾桶 × 1",超音蝠、霹雳电球、顽皮雷弹,https://img.game8.co/4431832/d70e16be1b64715284c0d3f5d9281b44.png/show
67,饿肚肚餐厅,桌上摆着餐盘：连菜单都有，简直像餐厅一样、。,"椅子（任意） × 1
菜单立牌 × 1
桌子（任意） × 1
装盘的食物 × 1",布拨、布土拨,https://img.game8.co/4431835/2e8521e6efdb4718e89b4202c322d089.png/show
68,料理送来了,用推车慢慢送来料理。援上桌后，就可以开始用餐了。,"雅致椅子 × 2
雅致桌子 × 1
单枝花瓶 × 1
推车 × 1
装盘的食物 × 1",帝王拿波,https://img.game8.co/4437266/bb06aad96616a200f8c18a57b428dbd1.png/show
69,叽叽咕咕大餐,鸟宝可梦会满怀期待地飞来享用盘子上的食物。,"木巢箱 × 1
桌子（任意） × 1
装盘的食物 × 1",火稚鸡、火焰鸡,https://img.game8.co/4431838/551af908a8bb2f8680a70d0ee7f5f1e0.png/show
70,茶水休息区,一边欣赏植物，一边享受下午茶。宝可梦们应该也能在这里放松身心。,"椅子（任意） × 2
植栽（任意） × 1
柜台面 × 2
马克杯 × 1
菜单立牌 × 1",布土拨、巴布土拨,https://img.game8.co/4434473/3c0be629cbb83e39e2db3c0029ec26f5.png/show
71,沙滩套组,躺在遮阳企下，尽享南国风情。宝可梦们说不定也会躺在这里休息。,"沙滩椅 × 1
沙滩遮阳伞 × 1
边桌 × 1",米立龙上弓姿势、米立龙下垂姿势、米立龙平挺姿势,https://img.game8.co/4434670/0c2829cca63036b533f5a50971e0842b.png/show
72,聚光舞台,炫日灯光照耀下的舞台：喜欧出风头的宝可梦应该会现身。,"聚光灯 × 2
舞台 × 1",电击兽、电击魔兽,https://img.game8.co/4431839/77c0f08eb159f197bbbc0d984c660502.png/show
73,小心机关,被气球包围的新潮盒子里面装了什公？打开有惊喜。,"气球 × 2
惊吓箱 × 1",鬼斯通、耿鬼、索罗亚克,https://img.game8.co/4437267/bcb8a7d05c7eb35b2703949cccb38000.png/show
74,夜晚的庆典会场,即便到了夜晚，庆典的入口依然被缤纷的霓虹灯照得闪闪发光。,"气球 × 2
雷丘招牌 × 1",茸茸羊,https://img.game8.co/4434671/4b61ccf7485e9c9494816d1f6f2c806a.png/show
75,更衣区,换好衣服后，到镜子前检查全身。在这里变成理想中的模样。,"衣柜（任意） × 1
镜子（大） × 1",泡沫栗鼠,https://img.game8.co/4431840/e37f4fb786775d782a6f8485d3bcfc8b.png/show
76,打扮时不许偷看,立起屏风遮住视线，好在打扮的时候不被看到。,"屏风（任意） × 2
衣柜（任意） × 1
梳妆台（任意） × 1",泡沫栗鼠、奇诺栗鼠,https://img.game8.co/4437268/18f4c19c36e6810705066ad299801d8b.png/show
77,织毛线,用柔软的毛线做的手工艺品，宝可梦们也非常感兴趣。,"椅子（任意） × 1
桌子（任意） × 1
编织套组 × 1",咩利羊、茸茸羊,https://img.game8.co/4431842/36f509a39db5a44c19c55caeefcdd2ed.png/show
78,温泉冲洗区,先在冲洗区洗干净身体后再去泡温泉吧。说不定宝可梦们也正在泡哦。,"花洒 × 1
椅子（任意） × 1
温泉 × 2",可达鸭、哥达鸭,https://img.game8.co/4433885/ea9e531fbdf1507c0cc641b91694a104.png/show
79,在度假区准备做饭,在椰子树下目着火堆，悠战地开始准备做饭吧。,"大椰子树 × 1
椅子（任意） × 1
装盘的食物 × 1
火堆 × 1",卡蒂狗、力壮鸡,https://img.game8.co/4431843/02cd52dad6f8f6afb6f1fdd23aef1764.png/show
80,打包好了,在空纸箱里装满各种物品，然后把纸箱堆上货车吧。,"平板货车 × 1
纸箱 × 2",大葱鸭、幕下力士、铁掌力士,https://img.game8.co/4431844/43d5a08849c18f1116e1f5d956be1f06.png/show
81,睡一觉来康复,治病最好的方法就是睡觉。说不定会有喜爱照顾的宝可梦前来。,"床铺（任意） × 1
自然风储物柜 × 1
急救箱 × 1",皮卡丘浅色、吉利蛋,https://img.game8.co/4434672/1bd9cc03e50d935c7a166962ef668abf.png/show
82,闹钟床位,只要在床边放上闹钟，就不用担心起不来了。,"床铺（任意） × 1
桌子（任意） × 1
闹钟 × 1",小福蛋,https://img.game8.co/4432159/c8beaa5d15af402eea2d323e05912bea.png/show
83,在自动售货机旁小憩,自动售货机旁边放着长椅。宝可梦们说不定也会来稍作休息。,"自动售货机 × 1
椅子（长） × 1",强颚鸡母虫、虫电宝,https://img.game8.co/4434675/9479d7796685de8b0f45289125efb417.png/show
84,自动售货机套组,自动售货机旁边的垃圾桶。里面似乎没有空罐子。,"垃圾桶（任意） × 1
自动售货机 × 1",电击怪、电击魔兽,https://img.game8.co/4431846/4732164388e7b7e22065016145c77957.png/show
85,迷你游戏城,玩过街机之后，就用拳击机活动身体吧。,"街机 × 1
椅子（任意） × 1
拳击机 × 1",三合一磁怪、自爆磁怪,https://img.game8.co/4434677/f3f856d7ecefaa91f2e14d039acd015b.png/show
86,水力发电厂,很万害的设施。能用瀑布倾泻而下的水流产生电力。,"水力发电机 × 1
水 × 2
瀑布 × 1",波皇子、帝王拿波,https://img.game8.co/4431848/42c1262a4c69df23deb6f62bae888c22.png/show
87,火力发电厂,很万害的设施。加入燃料就能靠火的力量发电。,"金属桶 × 1
火力发电机 × 1",力壮鸡、火焰鸡,https://img.game8.co/4434678/f969cba9615cf4bfc6ba8efc3e41c314.png/show
88,码头,海边的小小码头。正在游泳的宝可梦说不定也会顺道过来。,"栈桥 × 4
路灯（任意） × 1
海水 × 2",玛力露、玛力露丽,https://img.game8.co/4431852/a2e423bed0e90005e140ecd87063afb7.png/show
89,诡异的书房,点上蜡烛来读书吧到了夜晚，气氛会变得有些诡异。,"书架 × 1
雅致沙发 × 1
自然桌子 × 1
细长蜡烛 × 1",鬼斯、鬼斯通,https://img.game8.co/4431857/15cae8493d460e77745646037ea57c8a.png/show
90,水手过家家,站在舵前或大炮后，感觉就像成为了船员。,"木桶 × 2
船舵 × 1
发射筒 × 2",霹雳电球、顽皮雷弹,https://img.game8.co/4431858/bbd4dc1937094ae1e173b2dd3ac879e9.png/show
91,在柜台结账,在桌上放个收银机，通上电，转眼间店铺就开张了。,"桌子（任意） × 2
收银机 × 1",喵喵、小福蛋、差不多娃娃、大嘴娃,https://img.game8.co/4432163/80e07dc9a4d681a668507f8c14b5a7f0.png/show
92,小小画室,坐在椅子上凝视画布，感觉会涌出灵感。,"画布 × 1
椅子（任意） × 1",图图犬彩绘匠,https://img.game8.co/4437269/3bd4da05f2ddaecfbb48bea896146a9b.png/show
93,美味的供品,如果把食物放在盘子里，食量大的宝可梦应该会很高兴。,供品台 × 1,卡比兽萌苔,
94,皮卡丘空间,沙发和玩偶都是皮卡丘的模样。说不定会有宝可梦以为是真的而前来。,"皮卡丘沙发 × 1
皮卡丘玩偶 × 1",谜拟丘,https://img.game8.co/4433899/a95aa60e55ac4ff85b46e20e0fbd4cce.png/show
95,超可爱空间,被可爱的东西包围，感觉自己仿佛就是公主。,"可爱的沙发 × 1
可爱的桌子 × 1
可爱的灯 × 1
可爱的床 × 1
可爱的梳妆台 × 1",幸福蛋,https://img.game8.co/4437270/490bdf484ff58e2b9efaff3755a5c87f.png/show
96,欢迎来到度假区,在沙发或品床上躺下休息，感觉就像自己成为了名流。,"度假风沙发 × 1
度假风桌子 × 1
度假风吊床 × 1
度假风灯 × 1",阿勃梭鲁,https://img.game8.co/4434679/11b87f30fbc3c47b93b51b302d70a2b4.png/show
97,自然风生活,简约却安稳的空间宝可梦们也可以过上舒适的生活。,"自然风床铺 × 1
自然风沙发 × 1
自然桌子 × 1
自然风台灯 × 1",电龙,https://img.game8.co/4434989/e97c69639bd20bfaa3a7be605f840ee2.png/show
98,红色的草丛,红色的草组成的小草丛。在山间很常见。,红色草 × 4,圆法师、音箱蟀、利欧路、炎兔儿、闪焰王牌,https://img.game8.co/4432175/3fc297463d9c0ca692802ccca4458ece.png/show
99,树荫的红色草丛,湿润的红色草散发香味，吸宝可梦们前来。,"大树（任意） × 1
红色草 × 4",地鼠、三地鼠、盆才怪、树才怪,https://img.game8.co/4432180/ab1a0a3d9ac853e10400a0a47bba64ed.png/show
100,三角形树荫的岩石和草丛,望着高高的三角树，在草丛中背靠岩石休息片刻。,"三角树 × 1
红色草 × 4
大石头 × 1",投羽枭、狙射树枭,https://img.game8.co/4432181/8c13c92629c9582c81659e8dcafc9018.png/show
101,湿润的红色草丛,山间常见的红色草，但在水边也能顺利生长。,"红色草 × 4
水 × 2",莲叶童子、莲帽小童,https://img.game8.co/4432195/84001f6ea6528a4211bdc1f5ad987fe3.png/show
102,高岗的红色草丛,在山顶等高处也长满了红色草。,"红色草 × 4
高处 × 1",黑暗鸦、乌鸦头头、聒噪鸟,https://img.game8.co/4432201/49ebde6d56f3dee15e9cc01830c82a03.png/show
103,草丛训练场,装着土的袋子可以代替亚铃。感觉喜欢锻炼的宝可梦会来。,"沙包 × 2
红色草 × 4",豪力、怪力,https://img.game8.co/4432204/18517500589c65a50c649eca7c983f99.png/show
104,优雅的花田,优雅美丽的花田，开满了费岩地的花。,岩地的花 × 4,皮宝宝、皮皮、皮可西、狗仔包、麻花犬,https://img.game8.co/4432208/6a0c60a54ca1ac519450d9744656e5dd.png/show
105,树荫的优雅花田,费岩地的花散发出优雅的香气，轻柔地弥漫在四周。,"三角树 × 1
岩地的花 × 4",黑暗鸦、燃烧虫、火神蛾,https://img.game8.co/4432214/d3d8f4b661c8ac03910731158d5f6743.png/show
106,湿润的优雅花田,即使是在水边，费岩地的花也会傲然绽放。,"岩地的花 × 4
水 × 2",阿柏蛇、阿柏怪、蚊香蛙皇,https://img.game8.co/4434680/95bff17a94f28c2801fc3a061ddbdc2e.png/show
107,花田里的树桩舞台,建在花田中的舞台。站在树桩上沐浴灯光，感觉就像明星一样。,"岩地的花 × 4
树桩（任意） × 1
蘑菇台灯 × 2",宝宝丁、胖丁、蚊香蛙皇,https://img.game8.co/4434681/0fa34fcf6ab07d292712cf36056f3682.png/show
108,种田不容易,日里的蔬菜正在中壮成长：偶尔换换土，补充营养吧。,"菜田（任意） × 4
手推车 × 1",班基拉斯,https://img.game8.co/4434682/6df7cb3235ca60650fc104593f2d742d.png/show
109,浮浮水洼,可以在浮萍上行走，也可以跟着它一起漂浮。,"浮萍 × 4
水 × 2",莲叶童子、乐天河童,https://img.game8.co/4432222/0bbbe3f5d6ebe928f74563705413388a.png/show
110,满是苔藓,潮平平的，长满了苔藓。正适合喜欢潮湿环境的宝可梦。,苔藓 × 4,幼基拉斯、班基拉斯,https://img.game8.co/4431869/3a42144ea107f89445d98d176a880e2e.png/show
111,长满苔藓的岩石,空气湿润，氛围宁静。宝可梦们应该也能度过悠闲时光。,"苔藓 × 4
苔岩 × 1",隆隆石、隆隆岩,https://img.game8.co/4432227/d5ec0f6a3c89a8cb41822ac668696935.png/show
112,绿苔温泉,绿艺环绕的温泉。感受寂零之美，尽享悠闲时光。,"苔藓 × 4
温泉 × 2",煤炭龟,https://img.game8.co/4432231/f90d33a6824c90079ca7d72f46898d86.png/show
113,露天温泉,宝可梦们也会一边泡温泉，一边享受美景。,"出水口 × 1
温泉 × 2",腾蹴小将,https://img.game8.co/4433920/4acf47c3fbc87387f7d1e79117b364c8.png/show
114,养生温泉,泡一下热温泉，再泡一下冷水，就会感觉身体轻区又舒爽。,"出水口 × 1
水盆 × 1
温泉 × 2",蚊香蛙皇,https://img.game8.co/4432235/ecb7992b1a6dfb2a89cd12c6cf1cb252.png/show
115,熔岩熔岩热乎乎,到处都是熔岩，非常热。火居性的宝可梦难以抗拒。,"热热岩 × 1
熔岩 × 2",火神蛾、炭小侍,https://img.game8.co/4432279/50cc36d18575bb0333a57cadd82a3660.png/show
116,挖掘和煅烧,作业工具旁放着巨大的炉子。或许会有谁来生火。,"手推车 × 1
熔炉 × 1
掘山道具 × 1",鸭嘴火兽,https://img.game8.co/4432281/3e559f2cfcf7aff4f396abb9decf1f48.png/show
117,咚隆咣啷钢架工程,钢架工程正在进行。力气大的宝可梦好像会来帮忙。,"钢骨 × 3
手推车 × 1
沙包 × 1
掘山道具 × 1",大钢蛇、怪力,https://img.game8.co/4432288/65444ea5671060095c97b119203aaa63.png/show
