中文,说明
度假风灯,造型像是繩子纏在一起的燈具。以柔和的光芒營造出時尚的氛圍。
装饰灯,只要排起來掛在牆上，然後通電。四周就會形成熱鬧的氛圍。
新潮吊灯,燈泡和燈罩都亮晶晶。看著看著，心情似乎就越來越嗨了。
树果吊灯,吊在天花板再打開電源後。零餘果的尖端就會微微發光。
嵌灯,不會妨礙景觀的簡約電燈。要嵌入天花板或牆壁裡也可以。
聚光灯,通電後就會啪滋～地亮起。照亮眼前的東西。
古董吊灯,吊在天花板上，就能柔柔地照亮房間。應該很適合用在洋館等建築。
音符垫（低音Do）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
音符垫（Re）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
音符垫（Mi）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
音符垫（Fa）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
音符垫（Sol）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
音符垫（La）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
音符垫（Si）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
音符垫（高音Do）,一踩就會發出聲響的神奇墊子。聲音會根據擺放的方向而變化。
露營鍋,用來煮湯的鍋。放在火堆上吧。
油燈,點火之後周圍會微微變亮。正適合在探索暗處時使用。
