中文名,英文名,类别,说明,最大用量,desc1,desc2,文件名,文件存在
树桩（任意）,Tree stump,地形,,1,把用货车运来的圆木放在木桩上，劈成柴火。,累了的话，就坐在椅子上休息一下吧。,tree-stump.png,
圆大桌,Round table,家具,,1,把用货车运来的圆木放在木桩上，劈成柴火。,累了的话，就坐在椅子上休息一下吧。,round-table.png,
床铺（任意）,Bed,家具,,1,援着可爱布偶的床铺。,小型宝可梦应该能安心入睡。,bed.png,
玩偶（任意）,Plushie,装饰,,1,援着可爱布偶的床铺。,小型宝可梦应该能安心入睡。,plushie.png,
细长蜡烛,Thin candle,户外,點燃後，鮮紅的火焰搖曳晃動。因為體積小，感覺也能放在桌上。,2,笼罩着柔和灯光的床铺。,宝可梦们应该能放松地入睡。,thin-candle.png,
诡异的蜡烛,Eerie candle,户外,點燃後會有藍色火焰「呼……」地亮起。因為體積小，似乎也可以放在桌子上。,2,给墓地的蜡烛点上火，蓝色的火焰轻轻摇曳，诡异气氛加倍。,,eerie-candle.png,✓
吉利蛋植栽,Chansey planter,户外,就像是隻吉利蛋的樹。看著看著，心情似乎就會變柔和。,1,在吉利蛋的看护下休息片刻。,是个可以放松身心的疗愈空间。,chansey-planter.png,
大食花瓶,Victreebel vase,素材,花瓶的粉紅色瓶口就像是寶可夢的嘴巴。散發著一股淡淡的甜香。,1,或许会有宝可梦被磨菇的光亮和花瓶的香味吸引来。,,victreebel-vase.png,
蘑菇台灯,Mushroom lamp,设施,蘑菇的柔和光芒。會一直照亮著周圍。,2,或许会有宝可梦被磨菇的光亮和花瓶的香味吸引来。,建在花田中的舞台。,mushroom-lamp.png,✓
充气船,Inflatable boat,户外,無論是把它當作床躺在上面。還是讓它漂在水上，感覺都不錯。,1,如果在充气船上玩累了，就剧遮阳企下休息一下吧。,,inflatable-boat.png,✓
沙滩遮阳伞,Beach umbrella,户外,只要擺放在沙灘。就能擋住灼熱刺眼的陽光。,1,如果在充气船上玩累了，就剧遮阳企下休息一下吧。,躺在遮阳企下，尽享南国风情。,beach-umbrella.png,
枯萎的绿色草,Withered grass,地形,,4,因为干千的神奇岩石的力量而失去生机的草丛。,,withered-grass.png,
沙沙岩石,Sandy rock,户外,觸感乾爽的神奇岩石。擺放後，會讓大片範圍變乾燥。,1,因为干千的神奇岩石的力量而失去生机的草丛。,,sandy-rock.png,
控制盘,Control panel,素材,雖然有各式各樣的開關。但似乎沒有一個會反應。,1,试着给巨大的机器接好电线，但操作后也没有反应……。,,control-panel.png,
金属桶,Metal barrel,户外,毫無髒污，十分光滑的鐵圓桶。裡面什麼都沒有，所以相當輕。,1,试着给巨大的机器接好电线，但操作后也没有反应……。,很万害的设施。,metal-barrel.png,
乱缠电线,Tangled wires,素材,雜亂地纏在一起。沒辦法解開。,1,试着给巨大的机器接好电线，但操作后也没有反应……。,只要不断研究，说不定能变得像巨蔓藤博士那样博学多识。,tangled-wires.png,
木巢箱,Wooden nest box,户外,裡面裝了蓬松乾草的巢箱。看來鳥寶可夢可以過得很舒服。,1,鸟宝可梦似乎会吃着各种树果，在巢箱里休想。,鸟宝可梦会满怀期待地飞来享用盘子上的食物。,wooden-nest-box.png,
树果野餐篮,Berry picnic basket,素材,裝滿了樹果的野餐籃。排一排，就像是商店一樣。,1,鸟宝可梦似乎会吃着各种树果，在巢箱里休想。,在晴空下生起营火。,berry-picnic-basket.png,
晴雨飘浮泡泡（晴）,Sunny float bubble,装饰,,2,在晴空下生起营火。,准者各种美食，尽情享受吧。,sunny-float-bubble.png,
营火,Bonfire,户外,點燃正中央的木材。就會溫暖地照亮廣大範圍。,1,在晴空下生起营火。,准者各种美食，尽情享受吧。,bonfire.png,✓
晴雨飘浮泡泡（雨）,Rainy float bubble,装饰,,2,摆放食物的盘子和能联想到雨的物品，这里一应俱全。,,rainy-float-bubble.png,
博士的宝物,Professor's treasure,道具,,1,看上去像一堆废品，但对博士来说都值得研究。,,professor-s-treasure.png,
遗失物（大）,Lost item (large),装饰,,4,看上去像一堆废品，但对博士来说都值得研究。,只要放在展示台上，任何东西看起来都像珍宝。,lost-item-large.png,
圆木床铺,Log Bed,家具,收集小圓木製成的床鋪。木頭香味環繞中似乎能睡得很熟。,1,木材打造的家具琳琅满目。,仿佛置身于山间小屋。,log-bed.png,
圆木桌,Log table,家具,即使只是裁切圆木之後打磨，也會變成一張有模有様的桌子。,1,木材打造的家具琳琅满目。,仿佛置身于山间小屋。,log-table.png,✓
树果造型椅,Berry chair,家具,擺放在地上，就像是個埋住的蘋野果。葉子的部分是椅背。,1,桌子和床铺都是树果图案。,感觉一直盯着看肚子会饿。,berry-chair.png,✓
树果造型床,Berry bed,家具,大大的桃桃果造型床。柔軟又有彈性，睡起來非常舒服。,1,桌子和床铺都是树果图案。,感觉一直盯着看肚子会饿。,berry-bed.png,✓
树果造型桌,Berry table,家具,大大的利木果造型桌子。看起來很像真的，感覺會想要大口咬下。,1,桌子和床铺都是树果图案。,感觉一直盯着看肚子会饿。,berry-table.png,✓
树果桌灯,Berry lamp,设施,用玻璃打造的莓莓果。打開電源後，水藍色的光就會照亮四周。,1,桌子和床铺都是树果图案。,感觉一直盯着看肚子会饿。,berry-lamp.png,
庭园椅子,Garden chair,家具,適合放在庭院的椅子。坐在上面似乎能享受優雅的心情。,1,欣赏着柔和光线下的花，坐在庭园椅子上休息片刻吧。,,garden-chair.png,✓
庭园灯,Garden lamp,设施,適合擺放在庭院的燈具。在夜晚也會將花朵照得很美。,1,欣赏着柔和光线下的花，坐在庭园椅子上休息片刻吧。,,garden-lamp.png,
庭园桌子,Garden table,家具,時尚的桌子。和庭園椅子成套擺放，感覺很不错。,1,欣赏着柔和光线下的花，坐在庭园椅子上休息片刻吧。,,garden-table.png,✓
瞌睡床铺,Naptime bed,家具,在卡比獸的肚子上休息。因為太舒服了，讓人想一直睡下去。,1,其他宝可梦可能会误以为有只睡觉的卡比兽而靠近过来。,,naptime-bed.png,✓
古董衣柜,Antique closet,家具,又穩又重的大衣櫥。把各種東西都收進去吧。,1,被古董家具环绕，享受复古的气息吧。,,antique-closet.png,
古董床铺,Antique bed,家具,有種熟悉的感覺，散發著舒適氛圍的床鋪。毛毯的觸感很柔順。,1,被古董家具环绕，享受复古的气息吧。,,antique-bed.png,✓
古董梳妆台,Antique dresser,家具,在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。,1,被古董家具环绕，享受复古的气息吧。,,antique-dresser.png,✓
古董椅子,Antique Chair,家具,圖案復古而富有魅力的椅子。椅面相當蓬松。,1,被古董家具环绕，享受复古的气息吧。,,antique-chair.png,
精灵球沙发,Poké Ball Sofa,家具,坐進打開的精靈球裡看看吧。寬度足以讓兩個人一起坐喔。,1,本以为全是精灵球，却意外成为了舒适的生活空间。,,pok-ball-sofa.png,✓
精灵球造型床,Poké Ball bed,家具,大尺寸的床鋪。大型寶可夢應該也能躺上去。,1,本以为全是精灵球，却意外成为了舒适的生活空间。,,pok-ball-bed.png,✓
精灵球桌子,Poké Ball table,家具,精靈球造型的圓桌子。桌面很大，似乎可以放很多東西。,1,本以为全是精灵球，却意外成为了舒适的生活空间。,,pok-ball-table.png,✓
精灵球灯,Poké Ball lamp,设施,通電後就會亮起紅色、白色光芒的霓虹燈。放在桌子上似乎也不錯。,1,本以为全是精灵球，却意外成为了舒适的生活空间。,,pok-ball-lamp.png,
黄色草,Yellow grass,地形,,4,由黄色草组成的小草丛。,在港口城镇很常见。,yellow-grass.png,
泥水,Muddy water,地形,,2,生长在沼泽中的小草丛。,也有宝可梦用它擦去身上的泥巴。,muddy-water.png,
自动售货机,Vending machine,户外,通電就會啪地亮起。裡面好像還有商品。,1,在黄色的草丛中矗立的自动售货机。,就算在野外，补水也完全没问题。,vending-machine.png,✓
海边的花,Beach flower,地形,,4,谷海边的花组成的清爽花田。,沁人心脾的芬芳会引来宝可梦。,beach-flower.png,
大椰子树,Large coconut tree,地形,,1,椰子树下盛开着·台海边的花。,四周弥漫着热带风情十足的芬芳。,large-coconut-tree.png,
风力发电机,Wind generator,设施,,1,清风拂过，花田充满凉爽的气息。,风车将花香送往远方。,wind-generator.png,
沙滩椅,Beach chair,家具,大方地躺在上面休息片刻。搭配沙灘遮陽傘成套使用，感覺很不錯。,1,椰子树代替遮阳伞，宝可梦也会在沙滩椅上小憩。,躺在遮阳企下，尽享南国风情。,beach-chair.png,✓
纸箱,Cardboard box,素材,非常輕的紙箱。裡面似乎沒装任何東西。,2,空纸箱和松软的稻草床，选择睡哪边似乎会根据喜好分成两派。,散落一地的玩具和纸箱。,cardboard-box.png,
干草床,Straw bed,家具,雖然有點刺刺的。但寶可夢依然能夠不在乎地呼呼大睡。,1,空纸箱和松软的稻草床，选择睡哪边似乎会根据喜好分成两派。,,straw-bed.png,✓
玩具（任意）,Toy,装饰,,2,散落一地的玩具和纸箱。,才刚收拾好，就又乱了。,toy.png,
垃圾桶（任意）,Trash can,家具,,1,大家的垃圾全都集中在这里。,可能会有宝可梦跑来翻找垃圾。,trash-can.png,
牌子（任意）,Sign,装饰,,1,大家的垃圾全都集中在这里。,可能会有宝可梦跑来翻找垃圾。,sign.png,✓
垃圾袋,Trash bag,户外,隨處可見的普通垃圾袋。對一些寶可夢來說具有難以抵抗的香味。,2,大家的垃圾全都集中在这里。,可能会有宝可梦跑来翻找垃圾。,trash-bag.png,
垃圾桶,Trash can,户外,是個相當大的垃圾桶。感覺連寶可夢都能整隻躲進去。,4,为防止乱去垃圾而摆放了很多垃圾桶。,偶你也会有宝可梦待在里面。,trash-can.png,
电线杆,Utility pole,设施,連上發電機使用吧。只要連上電線桿，就能把電輸送到遠方。,1,扬在电线杆下的垃圾：周国稍稍有些臭。,,utility-pole.png,✓
菜单立牌,Menu board,户外,雖然上面寫著推薦的菜單。但寶可夢們應該看不懂。,1,桌上摆着餐盘：连菜单都有，简直像餐厅一样、。,一边欣赏植物，一边享受下午茶。,menu-board.png,✓
雅致椅子,Chic chair,家具,充滿高級感的迷你沙發。軟綿綿的，坐感絕佳。,2,用推车慢慢送来料理。,援上桌后，就可以开始用餐了。,chic-chair.png,✓
雅致桌子,Chic table,家具,感覺會出現在高級餐廳的桌子。非常適合擺上豪華料理。,1,用推车慢慢送来料理。,援上桌后，就可以开始用餐了。,chic-table.png,✓
推车,Push cart,家具,和桌子一様高的推車。試著在上面擺放食物等東西吧。,1,用推车慢慢送来料理。,援上桌后，就可以开始用餐了。,push-cart.png,✓
植栽（任意）,Potted plant,装饰,,2,一边欣赏植物，一边享受下午茶。,宝可梦们应该也能在这里放松身心。,potted-plant.png,
柜台面,Counter,家具,連結得越多，就變得越長的櫃台。在中間做個轉角感覺也不錯。,2,一边欣赏植物，一边享受下午茶。,宝可梦们应该也能在这里放松身心。,counter.png,✓
马克杯,Mug,素材,設計簡約，看起來很好用的馬克杯。換個顏色感覺也不錯。,1,一边欣赏植物，一边享受下午茶。,宝可梦们应该也能在这里放松身心。,mug.png,✓
边桌,Side table,家具,帶來凉爽印象的邊桌。擺放在夏日躺椅旁似乎也不錯。,1,躺在遮阳企下，尽享南国风情。,宝可梦们说不定也会躺在这里休息。,side-table.png,✓
聚光灯,Spotlight,设施,通電後就會啪滋～地亮起。照亮眼前的東西。,2,炫日灯光照耀下的舞台：喜欧出风头的宝可梦应该会现身。,聚光灯伴随着太鼓的节奏，打开惊吓箱的紧张感也达到了顶峰。,spotlight.png,✓
舞台,Stage,户外,站上去跳支舞吧！通電後，還會亮起燈光。,1,炫日灯光照耀下的舞台：喜欧出风头的宝可梦应该会现身。,登上专属的舞台，来唱歌吧！,stage.png,
气球,Balloon,素材,色彩活潑繽紛的氣球。遇到非常微小的風也會晃動。,2,被气球包围的新潮盒子里面装了什公？,打开有惊喜。,balloon.png,
惊吓箱,Jack-in-the-box,素材,一打開箱子。就會有耿鬼從裡面跳出來！,1,被气球包围的新潮盒子里面装了什公？,打开有惊喜。,jack-in-the-box.png,
雷丘招牌,Raichu sign,户外,通電後，霓虹燈就會閃閃發光。燈管呈現了雷丘正在放電的圖案。,1,即便到了夜晚，庆典的入口依然被缤纷的霓虹灯照得闪闪发光。,,raichu-sign.png,✓
衣柜（任意）,Wardrobe,家具,,1,换好衣服后，到镜子前检查全身。,在这里变成理想中的模样。,wardrobe.png,
镜子（大）,Large mirror,家具,,1,换好衣服后，到镜子前检查全身。,在这里变成理想中的模样。,large-mirror.png,✓
屏风（任意）,Folding screen,装饰,,2,立起屏风遮住视线，好在打扮的时候不被看到。,,folding-screen.png,
梳妆台（任意）,Dresser,家具,,1,立起屏风遮住视线，好在打扮的时候不被看到。,让肌肤滋润水润，妆容似乎就会比平时更完美。,dresser.png,
编织套组,Knitting set,素材,用來編織帽子或毛衣的道具。寶可夢對圓滾滾的毛線球會充滿興趣。,1,用柔软的毛线做的手工艺品，宝可梦们也非常感兴趣。,,knitting-set.png,
花洒,Watering can,素材,設計簡約的蓮蓬頭。擺在浴缸旁邊，浴室就完成了。,1,先在冲洗区洗干净身体后再去泡温泉吧。,说不定宝可梦们也正在泡哦。,watering-can.png,
温泉,Hot spring,地形,,2,先在冲洗区洗干净身体后再去泡温泉吧。,说不定宝可梦们也正在泡哦。,hot-spring.png,
自然风储物柜,Plain chest,家具,設計簡約的櫃子。可以收納持有物。,1,治病最好的方法就是睡觉。,说不定会有喜爱照顾的宝可梦前来。,plain-chest.png,✓
闹钟,Alarm clock,素材,按下去會有很大的聲音迴響。感覺會因為嚇到就不自覺醒來。,1,只要在床边放上闹钟，就不用担心起不来了。,,alarm-clock.png,✓
街机,Arcade machine,素材,曾經位在某個設施的遊戲機。乾乾淨凈，就像是新的一樣。似乎還能啟動。,2,玩过街机之后，就用拳击机活动身体吧。,并排坐好后，对战游戏就开始了。,arcade-machine.png,✓
拳击机,Boxing machine,素材,測量拳撃威力的機器。握緊拳頭，使勁地擊打吧。,1,玩过街机之后，就用拳击机活动身体吧。,只要放上观叶植物，朴素的储物间也会变成清爽的氛围。,boxing-machine.png,
水力发电机,Water generator,地形,,1,很万害的设施。,能用瀑布倾泻而下的水流产生电力。,water-generator.png,
火力发电机,Fire generator,设施,,1,很万害的设施。,加入燃料就能靠火的力量发电。,fire-generator.png,
栈桥,Pier,地形,,4,海边的小小码头。,正在游泳的宝可梦说不定也会顺道过来。,pier.png,
书架,Bookshelf,素材,書本擺得五顏六色的書架。大到看起來還能擺好多本書。,2,点上蜡烛来读书吧到了夜晚，气氛会变得有些诡异。,光是拿起铅笔坐在桌前，就感觉自己好像变聪明了些。,bookshelf.png,
雅致沙发,Chic sofa,家具,有高級感的沙發。跟放在聖特安努號上的家具非常像。,1,点上蜡烛来读书吧到了夜晚，气氛会变得有些诡异。,,chic-sofa.png,✓
自然桌子,Plain table,家具,,1,点上蜡烛来读书吧到了夜晚，气氛会变得有些诡异。,简约却安稳的空间宝可梦们也可以过上舒适的生活。,plain-table.png,✓
木桶,Wooden barrel,户外,裡面什麼都沒裝的空桶子。在上面擺東西感覺也很不錯。,2,站在舵前或大炮后，感觉就像成为了船员。,在货物摆放处躲起来偷吃东西。,wooden-barrel.png,
船舵,Ship wheel,素材,用來操縱船的方向盤。碰一下就會轉個不停。,1,站在舵前或大炮后，感觉就像成为了船员。,,ship-wheel.png,
发射筒,Launch tube,户外,把煙火彈或專長是「爆炸」的寶可夢。放進裡面後，點火看看吧。,2,站在舵前或大炮后，感觉就像成为了船员。,,launch-tube.png,
收银机,Cash register,设施,保持通電的狀態擺放在桌子上。就會有寶可夢前來進行「交易」。,1,在桌上放个收银机，通上电，转眼间店铺就开张了。,给收银台通上电，即使在大自然中也可以和大家进行交易。,cash-register.png,✓
画布,Canvas,装饰,,1,坐在椅子上凝视画布，感觉会涌出灵感。,,canvas.png,
供品台,Offering stand,素材,在台面擺放食物，作為獻給苔卡比獸的貢品吧。,1,如果把食物放在盘子里，食量大的宝可梦应该会很高兴。,,offering-stand.png,
皮卡丘沙发,Pikachu sofa,家具,椅背上有張皮卡丘的臉，存在感十足。背面還有一根尾巴稍微突出來。,1,沙发和玩偶都是皮卡丘的模样。,说不定会有宝可梦以为是真的而前来。,pikachu-sofa.png,✓
皮卡丘玩偶,Pikachu plushie,素材,給飄飄球看看吧。說不定牠會帶你去夢島呢。,1,沙发和玩偶都是皮卡丘的模样。,说不定会有宝可梦以为是真的而前来。,pikachu-plushie.png,
可爱的沙发,Cute sofa,家具,可愛又有點優雅的沙發。椅背的形狀就像是寶可夢的翅膀.。,1,被可爱的东西包围，感觉自己仿佛就是公主。,,cute-sofa.png,✓
可爱的桌子,Cute table,家具,褶邊和蕾絲相當可愛。隱約地散發著妖精屬性的氛圍。,1,被可爱的东西包围，感觉自己仿佛就是公主。,,cute-table.png,✓
可爱的灯,Cute lamp,设施,當作擺飾也很可愛的燈。打開電源後，中央的愛心就會亮起來。,1,被可爱的东西包围，感觉自己仿佛就是公主。,,cute-lamp.png,✓
可爱的床,Cute bed,家具,,1,被可爱的东西包围，感觉自己仿佛就是公主。,,cute-bed.png,✓
可爱的梳妆台,Cute dresser,家具,在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。,1,被可爱的东西包围，感觉自己仿佛就是公主。,,cute-dresser.png,✓
度假风沙发,Resort sofa,家具,坐下來就佛置身南國。在沙發上悠哉度過吧。,1,在沙发或品床上躺下休息，感觉就像自己成为了名流。,,resort-sofa.png,✓
度假风桌子,Resort table,家具,這材質無論被水打濕，還是被風吹襲都不怕。因此放在戶外也不必擔心。,1,在沙发或品床上躺下休息，感觉就像自己成为了名流。,,resort-table.png,✓
度假风吊床,Resort hammock,家具,躺在上面吹風相當舒服。能睡得寬敞的吊床。,1,在沙发或品床上躺下休息，感觉就像自己成为了名流。,,resort-hammock.png,✓
度假风灯,Resort lamp,设施,造型像是繩子纏在一起的燈具。以柔和的光芒營造出時尚的氛圍。,1,在沙发或品床上躺下休息，感觉就像自己成为了名流。,,resort-lamp.png,
自然风床铺,Plain bed,家具,設計簡約的床。看起來適合各種房間。,1,简约却安稳的空间宝可梦们也可以过上舒适的生活。,,plain-bed.png,✓
自然风沙发,Plain sofa,家具,如果看到型可夢坐在上。就坐到牠旁邊看看吧。.。,1,简约却安稳的空间宝可梦们也可以过上舒适的生活。,,plain-sofa.png,✓
自然风台灯,Plain lamp,设施,通電後就會亮起溫暖光芒。照亮四周。,1,简约却安稳的空间宝可梦们也可以过上舒适的生活。,,plain-lamp.png,✓
红色草,Red grass,地形,,4,红色的草组成的小草丛。,在山间很常见。,red-grass.png,
三角树,Triangle tree,地形,,1,望着高高的三角树，在草丛中背靠岩石休息片刻。,费岩地的花散发出优雅的香气，轻柔地弥漫在四周。,triangle-tree.png,
沙包,Sand bag,户外,裡面裝著土和沙子的布袋。沉甸甸的，看起來很重。,2,装着土的袋子可以代替亚铃。,感觉喜欢锻炼的宝可梦会来。,sand-bag.png,
岩地的花,Rock flower,地形,,4,优雅美丽的花田，开满了费岩地的花。,费岩地的花散发出优雅的香气，轻柔地弥漫在四周。,rock-flower.png,
手推车,Hand cart,户外,装著土堆的手推車。在工地應該很常見。,1,日里的蔬菜正在中壮成长：偶尔换换土，补充营养吧。,作业工具旁放着巨大的炉子。,hand-cart.png,
浮萍,Duckweed,地形,,4,可以在浮萍上行走，也可以跟着它一起漂浮。,宁静的时光在水边流消。,duckweed.png,✓
苔藓,Moss,地形,,4,潮平平的，长满了苔藓。,正适合喜欢潮湿环境的宝可梦。,moss.png,✓
苔岩,Mossy rock,地形,,1,空气湿润，氛围宁静。,宝可梦们应该也能度过悠闲时光。,mossy-rock.png,
出水口,Water outlet,户外,放在暖呼呼的熱水附近。就會營造出溫泉般的氛圍。,1,宝可梦们也会一边泡温泉，一边享受美景。,泡一下热温泉，再泡一下冷水，就会感觉身体轻区又舒爽。,water-outlet.png,
水盆,Water basin,户外,在盆子裡儲水。讓寶可夢們能幫忙澆水吧。,1,泡一下热温泉，再泡一下冷水，就会感觉身体轻区又舒爽。,,water-basin.png,✓
热热岩,Hot rock,地形,,1,到处都是熔岩，非常热。,火居性的宝可梦难以抗拒。,hot-rock.png,
熔岩,Lava,地形,,2,到处都是熔岩，非常热。,火居性的宝可梦难以抗拒。,lava.png,
熔炉,Furnace,设施,能加工金屬等物品的爐。拜託專長是「點火」的寶可夢來幫忙吧。,1,作业工具旁放着巨大的炉子。,或许会有谁来生火。,furnace.png,
掘山道具,Dig tools,户外,雖然是看起來很堅固的鎬子和鏟子。但對會挖土的寶可夢來說則是破銅爛鐵。,1,作业工具旁放着巨大的炉子。,或许会有谁来生火。,dig-tools.png,
钢骨,Steel beam,素材,,3,钢架工程正在进行。,力气大的宝可梦好像会来帮忙。,steel-beam.png,
笋岩,Bamboo shoot rock,地形,,1,高高的岩石周围长满了产藓。,在提灯的光线下，显得有些阴森。,bamboo-shoot-rock.png,
提灯,Lantern,设施,通電後就會發出耀眼的光芒。只要有它，在昏暗的洞窟也能放心。,1,高高的岩石周围长满了产藓。,在提灯的光线下，显得有些阴森。,lantern.png,✓
桌子（大）,Large table,家具,,1,今天的主菜是什公？,敬请期待盖子打开的时刻吧。,large-table.png,
派对餐盘,Party plate,素材,用來装派對料理的盤子。在開派對之前，嚴禁偷吃。,4,今天的主菜是什公？,敬请期待盖子打开的时刻吧。,party-plate.png,
面包窑,Bread oven,设施,用來做包的廚具。拜託寶可夢來點火吧。,1,一边等面包出炉，一边准音配菜吧。,,bread-oven.png,✓
厨房桌子,Kitchen table,家具,髒污難以附著的光滑桌子。和水槽或爐子擺在一起感覺也很不錯。,1,洗好食材和碗碟，开火做料理。,今天做什公好?,kitchen-table.png,✓
炉灶,Stove,素材,簡約洗練的爐具。轉動旋鈕，火就會點燃。,1,洗好食材和碗碟，开火做料理。,今天做什公好?,stove.png,
平底锅（任意）,Frying pan,家具,,1,洗好食材和碗碟，开火做料理。,今天做什公好?,frying-pan.png,✓
水槽,Sink,素材,就連排水口都完美具備的水槽。轉動水龍頭，水就會流出來。,1,洗好食材和碗碟，开火做料理。,今天做什公好?,sink.png,✓
供餐柜台,Food counter,家具,適合在派對等場合擺放料理的櫃台。,1,食物和饮料都是自助式的。,和大家一起尽情享受吧。,food-counter.png,✓
派对杯,Party cup,素材,方便攜帶的紙杯。正適合在開派對時使用。,1,食物和饮料都是自助式的。,和大家一起尽情享受吧。,party-cup.png,
平板电脑,Tablet,素材,方便攜帶的終端設備。由於裝在硬殼裡面。即使掉落也不用擔心。,1,一手端着饮料，在平板电脑上悠闲地翻看照片吧。,,tablet.png,✓
木制栖杠,Wooden perch,家具,,1,说不定会有鸟宝可梦来到麦克风前展现动听的歌喉。,,wooden-perch.png,
立式麦克风,Standing microphone,素材,很適合放在舞台上的麥克風。站在它前面就會不由自主想唱歌。,1,说不定会有鸟宝可梦来到麦克风前展现动听的歌喉。,登上专属的舞台，来唱歌吧！,standing-microphone.png,
音箱,Speaker,设施,,2,登上专属的舞台，来唱歌吧！,放上大大的音响和电视，感觉就像是电影院。,speaker.png,✓
CD播放器,CD player,素材,用來播放音樂的機器。如果找到CD就放進去看看吧。,1,宝可梦们也会随着节拍兴致勃勃地锻。,边放音乐边看书，感觉能比平时更加放松。,cd-player.png,✓
